csa,industry,indust_jobs,total_jobs,pop,natl_prop,expect_jobs,log_ratio,log_ratio_adj,csa_city,csa_state
Albany-Schenectady,Auto,2,20,274364,0.02344860255802937,0.46897205116058743,1.4503592852796303,1.1117508183858167,Albany,NY
Albany-Schenectady,Construction,1,20,274364,0.02854097584083373,0.5708195168166745,0.5606822019235652,0.11294256423753732,Albany,NY
Albany-Schenectady,Consulting,2,20,274364,0.07697773567029843,1.5395547134059686,0.26165395308448286,-0.22276562556692805,Albany,NY
Albany-Schenectady,Education,3,20,274364,0.06927996210326859,1.3855992420653718,0.7724795768504735,0.35071980975895495,Albany,NY
Albany-Schenectady,Finance,1,20,274364,0.0446470866887731,0.8929417337754619,0.11323394796620943,-0.38939139233800685,Albany,NY
Albany-Schenectady,Healthcare,3,20,274364,0.310279488394126,6.20558976788252,-0.7268381726728126,-1.332509950600671,Albany,NY
Albany-Schenectady,Insurance,1,20,274364,0.017290383704405495,0.3458076740881099,1.0618725137058838,0.675610783608748,Albany,NY
Albany-Schenectady,Internet & Software,2,20,274364,0.017764092846991947,0.35528185693983894,1.7279910218779098,1.4234379184759305,Albany,NY
Albany-Schenectady,Manufacturing,3,20,274364,0.042870677404073895,0.857413548081478,1.2524472122565589,0.8895620986479079,Albany,NY
Albany-Schenectady,Organization,1,20,274364,0.0182378019895784,0.364756039791568,1.008526533000591,0.615721182256887,Albany,NY
Albany-Schenectady,Retail,2,20,274364,0.10480814779725249,2.09616295594505,-0.04696132903376399,-0.5692368305722598,Albany,NY
Albany-Schenectady,Transport & Freight,1,20,274364,0.03540975840833728,0.7081951681667455,0.34503556202353386,-0.1291561117213781,Albany,NY
Albuquerque-Santa Fe-Las Vegas,Construction,1,28,643892,0.02854097584083373,0.7991473235433444,0.2242099653023523,-0.26480263513442237,Albuquerque,NM
Albuquerque-Santa Fe-Las Vegas,Consulting,2,28,643892,0.07697773567029843,2.155376598768356,-0.07481828353673019,-0.6005108249388879,Albuquerque,NM
Albuquerque-Santa Fe-Las Vegas,Education,5,28,643892,0.06927996210326859,1.9398389388915205,0.9468329639952513,0.5464600457128783,Albuquerque,NM
